id,City,Title,Rating,Reviews,Description,Tips,Address,Timings,Ticket Price
1,Cairo,Great Pyramids of Giza - Section 1,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Visit during sunset for the best photos,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
2,Cairo,The Sphinx - Section 1,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Check opening hours before visiting,"Al Haram, Giza",08:00-17:00,240.0
3,Cairo,Egyptian Museum - Section 1,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Check opening hours before visiting,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
4,Cairo,Grand Egyptian Museum - Section 1,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Combine with nearby attractions for a full day trip,Giza Plateau,09:00-21:00,350.0
5,Cairo,Khan El Khalili - Section 1,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Bring water and sun protection,"El-Gamaleya, Islamic Cairo",09:00-23:00,
6,Cairo,Al-Azhar Mosque - Section 1,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Combine with nearby attractions for a full day trip,Islamic Cairo,09:00-17:00,
7,Cairo,Citadel of Saladin - Section 1,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Bring water and sun protection,"Salah Salem St, Cairo",08:00-17:00,180.0
8,Cairo,Muhammad Ali Mosque - Section 1,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Wear comfortable walking shoes,"Citadel of Saladin, Cairo",08:00-17:00,180.0
9,Cairo,Coptic Cairo - Section 1,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Combine with nearby attractions for a full day trip,Old Cairo,09:00-17:00,100.0
10,Cairo,Hanging Church - Section 1,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Book tickets online in advance,Coptic Cairo,09:00-16:00,50.0
11,Cairo,Al-Azhar Park - Section 1,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Book tickets online in advance,"Salah Salem St, Cairo",09:00-23:00,30.0
12,Cairo,Islamic Cairo - Section 1,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Combine with nearby attractions for a full day trip,Islamic Cairo District,Open 24 hours,
13,Cairo,Saqqara - Section 1,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Bring water and sun protection,"Saqqara, Giza",08:00-17:00,150.0
14,Cairo,Dahshur - Section 1,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Wear comfortable walking shoes,"Dahshur, Giza",08:00-17:00,100.0
15,Cairo,Memphis - Section 1,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Wear comfortable walking shoes,"Mit Rahina, Giza",08:00-17:00,80.0
16,Cairo,El Moez Street - Section 1,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Bring water and sun protection,Islamic Cairo,Open 24 hours,
17,Cairo,Cairo Tower - Section 1,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Hire a local guide for the best experience,"Zamalek, Cairo",09:00-00:00,150.0
18,Cairo,Nilometer - Section 1,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Arrive early to avoid crowds and heat,"Rhoda Island, Cairo",09:00-17:00,40.0
19,Cairo,Manial Palace - Section 1,4.4,12000,A former royal palace with beautiful gardens and ornate interiors.,Check opening hours before visiting,"Rhoda Island, Cairo",09:00-17:00,60.0
20,Cairo,Gayer-Anderson Museum - Section 1,4.3,8000,A historic house museum with an impressive collection of furniture and artifacts.,Check opening hours before visiting,"Sayyida Zeinab, Cairo",09:00-17:00,50.0
21,Cairo,Great Pyramids of Giza - Section 2,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Arrive early to avoid crowds and heat,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
22,Cairo,The Sphinx - Section 2,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Wear comfortable walking shoes,"Al Haram, Giza",08:00-17:00,240.0
23,Cairo,Egyptian Museum - Section 2,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Visit during sunset for the best photos,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
24,Cairo,Grand Egyptian Museum - Section 2,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Arrive early to avoid crowds and heat,Giza Plateau,09:00-21:00,350.0
25,Cairo,Khan El Khalili - Section 2,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Visit during sunset for the best photos,"El-Gamaleya, Islamic Cairo",09:00-23:00,
26,Cairo,Al-Azhar Mosque - Section 2,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Book tickets online in advance,Islamic Cairo,09:00-17:00,
27,Cairo,Citadel of Saladin - Section 2,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Check opening hours before visiting,"Salah Salem St, Cairo",08:00-17:00,180.0
28,Cairo,Muhammad Ali Mosque - Section 2,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Visit during sunset for the best photos,"Citadel of Saladin, Cairo",08:00-17:00,180.0
29,Cairo,Coptic Cairo - Section 2,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Visit during sunset for the best photos,Old Cairo,09:00-17:00,100.0
30,Cairo,Hanging Church - Section 2,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Arrive early to avoid crowds and heat,Coptic Cairo,09:00-16:00,50.0
31,Cairo,Al-Azhar Park - Section 2,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Wear comfortable walking shoes,"Salah Salem St, Cairo",09:00-23:00,30.0
32,Cairo,Islamic Cairo - Section 2,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Bring water and sun protection,Islamic Cairo District,Open 24 hours,
