id,city,Hotel Name,Price,Review Score (/10),Hotel URL,Description,Latitude,Longitude,Distance (km)
1,Cairo,Four Seasons Cairo at Nile Plaza 1,989.67,7.6,https://booking.com/hotel/eg/cairo-1,Family-friendly hotel with pool and kids club,23.482177,26.559945,1.9
2,Cairo,Marriott Mena House 1,831.5,9.0,https://booking.com/hotel/eg/cairo-2,Historic hotel with panoramic views of the Nile,22.53591,32.219988,23.5
3,Cairo,Steigenberger El Tahrir 1,2142.87,,https://booking.com/hotel/eg/cairo-3,Budget-friendly hotel with clean rooms and friendly staff,24.766677,31.118529,3.9
4,Cairo,Kempinski Nile Hotel 1,2277.82,7.0,https://booking.com/hotel/eg/cairo-4,Charming boutique hotel with traditional Egyptian decor,25.633389,34.832309,11.9
5,Cairo,Sofitel Cairo Nile El Gezirah 1,120.1,7.2,https://booking.com/hotel/eg/cairo-5,Modern hotel in the heart of the city with easy access to attractions,31.014413,34.65632,20.3
6,Cairo,Fairmont Nile City 1,3072.41,8.1,https://booking.com/hotel/eg/cairo-6,Contemporary hotel near shopping and dining districts,27.794968,33.331949,4.7
7,Cairo,Conrad Cairo 1,400.04,8.5,https://booking.com/hotel/eg/cairo-7,Historic hotel with panoramic views of the Nile,23.975446,30.677003,1.3
8,Cairo,InterContinental Semiramis 1,378.58,5.2,https://booking.com/hotel/eg/cairo-8,Beachfront resort with private beach and water sports,27.68005,34.218742,2.7
9,Cairo,Ramses Hilton 1,288.55,,https://booking.com/hotel/eg/cairo-9,Budget-friendly hotel with clean rooms and friendly staff,31.131134,33.445338,18.8
10,Cairo,Hilton Cairo World Trade Center 1,4326.86,9.1,https://booking.com/hotel/eg/cairo-10,Budget-friendly hotel with clean rooms and friendly staff,24.814598,26.652669,0.9
11,Cairo,Cairo Pyramids Hotel 1,148.33,6.2,https://booking.com/hotel/eg/cairo-11,Charming boutique hotel with traditional Egyptian decor,28.715145,32.290072,19.4
12,Cairo,Nile Ritz-Carlton 1,563.56,,https://booking.com/hotel/eg/cairo-12,Contemporary hotel near shopping and dining districts,30.075366,29.494507,2.8
13,Cairo,Tolip Golden Hotel 1,403.92,9.3,https://booking.com/hotel/eg/cairo-13,Elegant resort with spa and wellness center,24.609857,30.612434,9.9
14,Cairo,Dana Inn Maadi 1,1784.33,8.4,https://booking.com/hotel/eg/cairo-14,Contemporary hotel near shopping and dining districts,29.324188,29.937956,13.3
15,Cairo,Le Riad Hotel de Charme 1,1198.59,7.9,https://booking.com/hotel/eg/cairo-15,Beachfront resort with private beach and water sports,27.351118,31.955161,3.9
16,Cairo,Arabian Nights Hotel 1,523.63,6.1,https://booking.com/hotel/eg/cairo-16,Contemporary hotel near shopping and dining districts,24.752639,26.612213,23.3
17,Cairo,Pyramids View Inn 1,774.54,8.9,https://booking.com/hotel/eg/cairo-17,Beachfront resort with private beach and water sports,30.47931,30.393422,20.3
18,Cairo,Cairo Downtown Hotel 1,865.23,7.0,https://booking.com/hotel/eg/cairo-18,Budget-friendly hotel with clean rooms and friendly staff,28.153056,25.005204,9.1
19,Cairo,Four Seasons Cairo at Nile Plaza 2,511.77,8.0,https://booking.com/hotel/eg/cairo-19,Family-friendly hotel with pool and kids club,28.578142,27.694123,6.5
20,Cairo,Marriott Mena House 2,244.8,,https://booking.com/hotel/eg/cairo-20,Elegant resort with spa and wellness center,28.67868,28.636296,24.3
21,Cairo,Steigenberger El Tahrir 2,143.31,7.8,https://booking.com/hotel/eg/cairo-21,Luxurious hotel with stunning views and world-class amenities,24.53442,34.76615,10.6
22,Cairo,Kempinski Nile Hotel 2,623.86,7.5,https://booking.com/hotel/eg/cairo-22,Modern hotel in the heart of the city with easy access to attractions,27.043879,29.477832,14.0
23,Cairo,Sofitel Cairo Nile El Gezirah 2,361.37,8.0,https://booking.com/hotel/eg/cairo-23,Luxurious hotel with stunning views and world-class amenities,28.918055,28.677831,16.0
24,Cairo,Fairmont Nile City 2,1063.68,,https://booking.com/hotel/eg/cairo-24,Luxurious hotel with stunning views and world-class amenities,23.431817,30.081988,17.5
25,Cairo,Conrad Cairo 2,3836.69,6.5,https://booking.com/hotel/eg/cairo-25,Premium hotel offering authentic Egyptian hospitality,26.864884,27.264958,16.3
26,Cairo,InterContinental Semiramis 2,385.35,,https://booking.com/hotel/eg/cairo-26,Luxurious hotel with stunning views and world-class amenities,25.776934,30.177514,21.0
27,Cairo,Ramses Hilton 2,1694.88,,https://booking.com/hotel/eg/cairo-27,Premium hotel offering authentic Egyptian hospitality,24.450445,31.59984,20.5
28,Cairo,Hilton Cairo World Trade Center 2,1337.63,5.9,https://booking.com/hotel/eg/cairo-28,Family-friendly hotel with pool and kids club,30.553972,31.331015,8.8
29,Cairo,Cairo Pyramids Hotel 2,771.01,8.4,https://booking.com/hotel/eg/cairo-29,Elegant resort with spa and wellness center,25.842827,33.877701,21.3
30,Cairo,Nile Ritz-Carlton 2,843.52,8.6,https://booking.com/hotel/eg/cairo-30,Charming boutique hotel with traditional Egyptian decor,25.536686,34.401334,24.4
31,Cairo,Tolip Golden Hotel 2,1607.04,7.6,https://booking.com/hotel/eg/cairo-31,Charming boutique hotel with traditional Egyptian decor,28.193632,27.242693,17.9
32,Cairo,Dana Inn Maadi 2,141.51,,https://booking.com/hotel/eg/cairo-32,Family-friendly hotel with pool and kids club,23.698816,28.664688,18.7
33,Cairo,Le Riad Hotel de Charme 2,308.61,9.1,https://booking.com/hotel/eg/cairo-33,Charming boutique hotel with traditional Egyptian decor,28.04516,27.504618,15.0
34,Cairo,Arabian Nights Hotel 2,659.08,8.3,https://booking.com/hotel/eg/cairo-34,Modern hotel in the heart of the city with easy access to attractions,25.325745,31.451034,16.9
35,Cairo,Pyramids View Inn 2,493.49,8.4,https://booking.com/hotel/eg/cairo-35,Beachfront resort with private beach and water sports,22.231002,31.454723,4.8
36,Cairo,Cairo Downtown Hotel 2,556.26,,https://booking.com/hotel/eg/cairo-36,Elegant resort with spa and wellness center,25.142128,30.52765,14.5
37,Cairo,Four Seasons Cairo at Nile Plaza 3,1177.56,7.5,https://booking.com/hotel/eg/cairo-37,Contemporary hotel near shopping and dining districts,24.550511,29.852799,9.6
38,Cairo,Marriott Mena House 3,454.77,6.4,https://booking.com/hotel/eg/cairo-38,Premium hotel offering authentic Egyptian hospitality,30.335044,32.407686,17.6
39,Cairo,Steigenberger El Tahrir 3,2021.68,6.1,https://booking.com/hotel/eg/cairo-39,Contemporary hotel near shopping and dining districts,25.987918,27.562069,15.5
40,Cairo,Kempinski Nile Hotel 3,314.11,,https://booking.com/hotel/eg/cairo-40,Contemporary hotel near shopping and dining districts,26.764405,32.982952,16.4
41,Cairo,Sofitel Cairo Nile El Gezirah 3,1426.82,8.6,https://booking.com/hotel/eg/cairo-41,Contemporary hotel near shopping and dining districts,22.262359,30.788649,11.2
42,Cairo,Fairmont Nile City 3,254.65,,https://booking.com/hotel/eg/cairo-42,Historic hotel with panoramic views of the Nile,27.612916,25.305002,1.4
43,Cairo,Conrad Cairo 3,1739.07,6.7,https://booking.com/hotel/eg/cairo-43,Luxurious hotel with stunning views and world-class amenities,29.864756,27.715429,24.1
44,Cairo,InterContinental Semiramis 3,508.85,7.3,https://booking.com/hotel/eg/cairo-44,Charming boutique hotel with traditional Egyptian decor,28.055584,32.260913,24.4
45,Cairo,Ramses Hilton 3,944.28,9.1,https://booking.com/hotel/eg/cairo-45,Charming boutique hotel with traditional Egyptian decor,26.170228,25.784564,1.1
46,Cairo,Hilton Cairo World Trade Center 3,402.28,8.4,https://booking.com/hotel/eg/cairo-46,Family-friendly hotel with pool and kids club,22.552839,34.152137,11.3
