id,city,Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
1,Cairo,Abou Tarek 1,Garden City,"Egyptian,Arabic,Middle Eastern",https://talabat.com/eg/cairo/abou-tarek-1-1,23,74.54-275.38,74.54,275.38,174.96
2,Cairo,Koshary Abou Tarek 1,Heliopolis,"Thai,Asian,Vegetarian",https://talabat.com/eg/cairo/koshary-abou-tarek-1-2,112,118.81-523.49,118.81,523.49,321.15
3,Cairo,Sequoia 1,New Cairo,"Seafood,Mediterranean",https://talabat.com/eg/cairo/sequoia-1-3,30,50.48-130.73,50.48,130.73,90.6
4,Cairo,Zooba 1,Heliopolis,"French,European,Fine Dining",https://talabat.com/eg/cairo/zooba-1-4,44,52.88-248.78,52.88,248.78,150.83
5,Cairo,Fasahat Somaya 1,Nasr City,"Mexican,Latin,Tacos",https://talabat.com/eg/cairo/fasahat-somaya-1-5,51,129.45-323.6,129.45,323.6,226.53
6,Cairo,El Prince 1,Heliopolis,"Vegetarian,Vegan,Healthy",https://talabat.com/eg/cairo/el-prince-1-6,35,96.7-418.48,96.7,418.48,257.59
7,Cairo,Maison Thomas 1,6th of October,"French,European,Fine Dining",https://talabat.com/eg/cairo/maison-thomas-1-7,49,72.54-297.4,72.54,297.4,184.97
8,Cairo,Taboula 1,Downtown Cairo,"Thai,Asian,Vegetarian",https://talabat.com/eg/cairo/taboula-1-8,63,81.49-127.26,81.49,127.26,104.38
9,Cairo,Cairo Kitchen 1,Heliopolis,"Indian,Asian,Vegetarian",https://talabat.com/eg/cairo/cairo-kitchen-1-9,68,117.02-524.81,117.02,524.81,320.91
10,Cairo,Kazouza 1,Heliopolis,"Thai,Asian,Vegetarian",https://talabat.com/eg/cairo/kazouza-1-10,47,63.31-294.0,63.31,294.0,178.66
11,Cairo,Andrea El Mariouteya 1,Mohandessin,"Chinese,Asian,Dim Sum",https://talabat.com/eg/cairo/andrea-el-mariouteya-1-11,35,146.53-285.24,146.53,285.24,215.88
12,Cairo,Sea Gull 1,6th of October,"Japanese,Sushi,Asian",https://talabat.com/eg/cairo/sea-gull-1-12,81,83.79-304.81,83.79,304.81,194.3
13,Cairo,Samakmak 1,Garden City,"Italian,Pizza,Pasta",https://talabat.com/eg/cairo/samakmak-1-13,62,96.36-203.82,96.36,203.82,150.09
14,Cairo,Fish Market 1,Mohandessin,"Italian,Pizza,Pasta",https://talabat.com/eg/cairo/fish-market-1-14,60,88.96-337.44,88.96,337.44,213.2
15,Cairo,Gad 1,Nile Corniche,"Turkish,Kebab,Middle Eastern",https://talabat.com/eg/cairo/gad-1-15,88,49.36-190.03,49.36,190.03,119.69
16,Cairo,Felfela 1,Khan El Khalili,"French,European,Fine Dining",https://talabat.com/eg/cairo/felfela-1-16,110,127.63-626.5,127.63,626.5,377.06
17,Cairo,Tikka Grill 1,Nasr City,"Japanese,Sushi,Asian",https://talabat.com/eg/cairo/tikka-grill-1-17,46,33.38-102.63,33.38,102.63,68.0
18,Cairo,El Shabrawy 1,Heliopolis,"Korean,Asian,BBQ",https://talabat.com/eg/cairo/el-shabrawy-1-18,108,62.09-204.75,62.09,204.75,133.42
19,Cairo,Mori Sushi 1,Heliopolis,"Greek,Mediterranean,Seafood",https://talabat.com/eg/cairo/mori-sushi-1-19,32,62.88-269.57,62.88,269.57,166.22
20,Cairo,Crimson Bar & Grill 1,Mohandessin,"Japanese,Sushi,Asian",https://talabat.com/eg/cairo/crimson-bar-&-grill-1-20,50,51.19-140.98,51.19,140.98,96.08
21,Cairo,Naguib Mahfouz Cafe 1,Giza,"Indian,Asian,Vegetarian",https://talabat.com/eg/cairo/naguib-mahfouz-cafe-1-21,105,84.75-135.61,84.75,135.61,110.18
22,Cairo,El Tabbala 1,Garden City,"Korean,Asian,BBQ",https://talabat.com/eg/cairo/el-tabbala-1-22,52,54.42-187.47,54.42,187.47,120.94
23,Cairo,Osmanly 1,Pyramids Area,"American,Burgers,Fast Food",https://talabat.com/eg/cairo/osmanly-1-23,90,133.3-204.42,133.3,204.42,168.86
24,Cairo,Sabaya 1,Mohandessin,"Italian,Pizza,Pasta",https://talabat.com/eg/cairo/sabaya-1-24,16,133.08-203.19,133.08,203.19,168.13
25,Cairo,Le Deck 1,Khan El Khalili,"Thai,Asian,Vegetarian",https://talabat.com/eg/cairo/le-deck-1-25,46,72.47-198.94,72.47,198.94,135.7
26,Cairo,Birdcage 1,Downtown Cairo,"Lebanese,Middle Eastern,Arabic",https://talabat.com/eg/cairo/birdcage-1-26,100,127.08-601.07,127.08,601.07,364.08
27,Cairo,Crimson 1,Giza,"Lebanese,Middle Eastern,Arabic",https://talabat.com/eg/cairo/crimson-1-27,92,114.06-333.47,114.06,333.47,223.77
28,Cairo,Pier 88 1,Zamalek,"Seafood,Mediterranean",https://talabat.com/eg/cairo/pier-88-1-28,61,106.57-478.47,106.57,478.47,292.52
29,Cairo,The Blue Restaurant 1,Pyramids Area,"Thai,Asian,Vegetarian",https://talabat.com/eg/cairo/the-blue-restaurant-1-29,90,125.07-214.77,125.07,214.77,169.92
30,Cairo,Nile Maxim 1,Pyramids Area,"Mexican,Latin,Tacos",https://talabat.com/eg/cairo/nile-maxim-1-30,99,91.7-267.94,91.7,267.94,179.82
